sentence,sentiment
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #802),0
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #92),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #2559),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #5441),2
Môn học tạm ổn đáp ứng yêu cầu (mẫu UIT-VSFC #650),1
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #4657),2
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #475),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #4419),2
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #325),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #6089),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3425),2
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #901),1
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #4230),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #2603),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #1989),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #827),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #4105),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #1489),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #1740),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #2519),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #683),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #1391),2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #2107),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #5360),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #4198),2
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #3053),0
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #881),1
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #1123),1
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #2766),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #3496),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #4301),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2001),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #2006),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #2346),2
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #2151),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #1599),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #4092),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #3218),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3965),2
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #1313),0
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #1235),0
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #2691),0
Chương trình học bình thường (mẫu UIT-VSFC #1148),1
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #84),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #4252),2
Môn học có ảnh hưởng tích cực lớn đến định hướng nghề nghiệp của em.,2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #4042),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3795),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #4602),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #2695),2
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #461),1
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #2184),0
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #341),1
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #1113),1
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #81),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #4324),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #1383),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #469),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6550),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #6178),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #3504),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #5075),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #2428),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #2270),0
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #2608),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #962),2
Cô dạy bình thường đúng giáo trình (mẫu UIT-VSFC #1046),1
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #2558),0
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #677),0
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #1173),1
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #4870),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #6295),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #5285),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #1414),2
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #2433),0
Thầy làm cho môn học trở nên sống động và ý nghĩa hơn em tưởng.,2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #4805),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #5806),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2561),2
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #2992),0
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #2274),0
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #434),0
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #1337),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #1429),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #514),0
Giảng viên không tạo được không khí học tập tích cực trong lớp.,0
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #1735),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #6269),2
Thầy dạy đủ bài không thiếu nội dung (mẫu UIT-VSFC #1199),1
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #2652),0
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #571),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #3739),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #3593),2
Bài giảng đủ nội dung chấp nhận được (mẫu UIT-VSFC #1454),1
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2771),2
Cô dạy bình thường đúng giáo trình (mẫu UIT-VSFC #316),1
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #1548),2
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #1575),0
Thầy dạy đủ bài không thiếu nội dung (mẫu UIT-VSFC #929),1
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #1079),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #1604),2
Thầy dạy đủ bài không thiếu nội dung (mẫu UIT-VSFC #769),1
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #473),0
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #1218),0
Môn học rất hay và bổ ích (mẫu UIT-VSFC #2303),2
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #843),1
Chương trình học bình thường (mẫu UIT-VSFC #978),1
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #1951),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #6504),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3575),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #5770),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #2704),2
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #1271),0
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #5561),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #184),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #449),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #5919),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #2774),0
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #6108),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #5959),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #2679),0
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #2590),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #1765),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #3364),2
Bài giảng đủ nội dung chấp nhận được (mẫu UIT-VSFC #384),1
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #531),1
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #4360),2
Cô ra bài tập không liên quan đến nội dung đã dạy trên lớp.,0
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2701),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #2238),0
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #2034),0
Môn học rất hay và bổ ích (mẫu UIT-VSFC #3483),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #148),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6200),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #3724),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #5723),2
Môn học không khó không dễ (mẫu UIT-VSFC #445),1
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #1844),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #1572),2
Giảng viên dạy ổn theo chương trình (mẫu UIT-VSFC #12),1
Môn học rất hay và bổ ích (mẫu UIT-VSFC #1763),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #130),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #1728),0
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #462),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #2239),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #4446),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #1408),2
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #2735),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #1072),2
"Chủ đề môn học rất hấp dẫn, em học với tâm thế tích cực.",2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #2918),0
Không có gì nổi bật cũng không tệ (mẫu UIT-VSFC #1547),1
Bài giảng đủ nội dung chấp nhận được (mẫu UIT-VSFC #1084),1
Môn học rất hay và bổ ích (mẫu UIT-VSFC #1203),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #716),0
Môn học không khó không dễ (mẫu UIT-VSFC #385),1
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #3248),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #6541),2
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #1511),1
Giảng viên dạy ổn theo chương trình (mẫu UIT-VSFC #682),1
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #3079),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #4868),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #314),2
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #2511),0
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #1463),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #5684),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #4788),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #1241),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #626),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #1076),0
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #6081),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #4818),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #1568),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6370),2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #1007),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #6527),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2041),2
Môn học không khó không dễ (mẫu UIT-VSFC #1605),1
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #3607),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #2159),0
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #408),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #122),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #116),0
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #1111),1
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #681),1
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #539),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #4975),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #1027),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #501),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #4203),2
"Bài giảng của thầy sinh động, không bao giờ khiến sinh viên buồn ngủ.",2
Giảng viên dạy ổn theo chương trình (mẫu UIT-VSFC #362),1
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #1436),0
Môn học rất hay và bổ ích (mẫu UIT-VSFC #1143),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #2095),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #1985),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #4154),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #558),0
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #199),0
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #569),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #3602),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #1640),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #2638),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #3281),2
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #2183),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #4909),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6100),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #2432),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6480),2
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #1201),0
Môn học rất hay và bổ ích (mẫu UIT-VSFC #2923),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #3004),0
Giảng viên dạy ổn theo chương trình (mẫu UIT-VSFC #542),1
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #1472),0
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2971),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #6613),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #954),2
"Thầy dạy rất giỏi, em mong được học thầy ở các môn khác nữa.",2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #4813),2
Bài giảng đủ nội dung chấp nhận được (mẫu UIT-VSFC #1374),1
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #1216),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #5876),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #5557),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #6328),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #4963),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #4676),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #3037),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #188),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #2419),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #6112),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #6125),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #6574),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #4616),2
Môn học tạm ổn đáp ứng yêu cầu (mẫu UIT-VSFC #1600),1
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #349),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #549),0
Môn học rất hay và bổ ích (mẫu UIT-VSFC #5173),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #5257),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #1795),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #6003),2
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #203),0
Thầy thực hiện đúng quy định nhưng thiếu sự nhiệt tình đặc biệt.,1
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #2014),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #2762),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3565),2
Cô dạy bình thường đúng giáo trình (mẫu UIT-VSFC #1516),1
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #1506),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #2782),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #4986),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #3287),2
Môn học không khó không dễ (mẫu UIT-VSFC #1585),1
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #774),2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #1667),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #5505),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #2944),0
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #1787),0
Bài giảng đủ nội dung chấp nhận được (mẫu UIT-VSFC #1204),1
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #5514),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #6191),2
Giảng viên dạy ổn theo chương trình (mẫu UIT-VSFC #1492),1
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #2457),0
Môn học rất hay và bổ ích (mẫu UIT-VSFC #6343),2
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #776),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #1162),2
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #1801),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #474),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #2023),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6020),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6170),2
Môn học tạm ổn đáp ứng yêu cầu (mẫu UIT-VSFC #1230),1
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #1977),0
Môn học rất hay và bổ ích (mẫu UIT-VSFC #2283),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #5113),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #5446),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #3605),2
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #963),1
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #4126),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #4432),2
Môn học không khó không dễ (mẫu UIT-VSFC #935),1
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #4967),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #4978),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #507),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #1288),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #2109),0
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #1599),0
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #1031),1
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #5344),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #2107),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #878),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #1738),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #1188),0
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #2713),0
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #6518),2
Bài giảng đủ nội dung chấp nhận được (mẫu UIT-VSFC #1684),1
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #2044),0
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #2865),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #4812),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #1090),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #4110),2
Bài giảng đủ nội dung chấp nhận được (mẫu UIT-VSFC #704),1
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #5967),2
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #2602),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #2066),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #950),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #405),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #2972),2
Chương trình học bình thường (mẫu UIT-VSFC #1488),1
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #1174),0
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #2599),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #4464),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #1155),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #785),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #2932),2
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #942),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #6324),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #58),2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #877),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #2369),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #5535),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #406),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #280),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #4201),2
Cô dạy bình thường đúng giáo trình (mẫu UIT-VSFC #686),1
Môn học không khó không dễ (mẫu UIT-VSFC #575),1
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #2511),2
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #5036),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #4362),2
"Môn học ổn, không có gì phàn nàn nhưng cũng không có gì đặc sắc.",1
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #5678),2
Môn học tạm ổn đáp ứng yêu cầu (mẫu UIT-VSFC #1020),1
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #6420),2
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #2408),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #1137),2
Tài liệu thiếu không đủ để học (mẫu UIT-VSFC #2344),0
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #597),2
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #372),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #120),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #3737),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #2747),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #757),2
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #497),0
Chương trình học bình thường (mẫu UIT-VSFC #378),1
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #798),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #2465),2
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #849),0
Chương trình học bình thường (mẫu UIT-VSFC #148),1
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #2317),0
Bài tập không liên quan đến nội dung (mẫu UIT-VSFC #2539),0
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #1815),0
Cô không giải thích rõ sinh viên hỏi không được (mẫu UIT-VSFC #726),0
Chương trình học bình thường (mẫu UIT-VSFC #288),1
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #5329),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #2610),0
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #2291),0
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #488),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #6565),2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #243),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #2430),2
Em tự hào khi nói rằng mình đã học được rất nhiều từ môn học này.,2
Môn học rất hay và bổ ích (mẫu UIT-VSFC #2703),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #3249),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #4310),2
Thầy dạy đủ bài không thiếu nội dung (mẫu UIT-VSFC #1359),1
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #42),0
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #5590),2
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #411),0
Chương trình học bình thường (mẫu UIT-VSFC #468),1
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #1043),0
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #4161),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #78),2
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #319),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #458),2
Giảng viên hay nghỉ học đột ngột (mẫu UIT-VSFC #2070),0
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #4605),2
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #1915),0
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #1741),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #5070),2
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #534),2
